ItemId,ItemName
61010,3D BLUE 12/16 CAN
61014,3D PURPLE 12/16 CAN
301995,6/750  80 PROOF BLUELAVA TEQ
60098,AE WITCHSBREW 4/6C
60099,AE KIMADE 4/6C
61000,AE BLUE SLUSH 4/6 CAN
61001,AE COSMIC STAR 4/6 CAN
61002,AE HAWAIIANICE 4/6 CAN
61005,AE CHERRYSLUSH 4/6 CAN
61007,AE BREEZEBERRY 4/6 CAN
61008,AE JUICYPEACH 4/6C
61009,AE KIWI GUAVA 4/6C
61037,AE CAPP COFFEE 12/12C
61038,AE MAPLECOFFEE 12/12C
61039,AE MOCHACOFFEE 12/12 CAN
61041,AE VAN COFFEE 12/12C
61081,AE COSMIC STAR 2/12 CAN
61082,AE JUICYPEACH 2/12C
61085,AE CHERRYSLUSH 2/12 CAN
61087,AE BREEZEBERRY 2/12 CAN
61088,AE VARIETYPACK 2/12C
61089,AE JUICYPEACH 24/12C
61090,AE TROPSICLE 24/12 CAN
61091,AE COSMIC STAR 24/12
61092,AE HAWAIIANICE 24/12 CAN
61093,AE MIMOSA 24/12 CAN
61094,AE WTRMLN WAVE 24/12 CAN
61095,AE CHERRYSLUSH 24/12 CAN
61096,AE ARCTICWHITE 24/12 CAN
61097,AE BREEZEBERRY 24/12 CAN
61099,AE ROCKET POP 24/12C
61100,AE WITCHSBREW 24/12 CANS
61101,AE BLUE SLUSH 24/12 CAN
61102,AE DREAMFLOAT 24/12C
61114,AE KIWI GUAVA 24/12C
61115,AE CHOC FIT 12/12OZ
61116,AE VANILLA FIT 12/12OZ CAN
61117,AE CKCM & FIT 12/12OZ CAN
61118,AE FRTCRL FIT 12/12OZ CAN
61119,AE MUNCH FIT 12/12OZ CAN
61124,AE KIMADE 24/12C
31752,ALG WHITE BEER 4/6BTL
31753,ALG WHITE BEER 2/12 CANS
31754,ALG WHITE BEER 4/6C
31755,ALG WILDLIFE 6/4C
31758,ALG WHITE BEER 1/2BBL
31759,ALG WHITE BEER 1/6BBL
31773,ALG TRIPEL 4/6 BTL
31791,ALG BEACH RPT 6/4C
31792,ALG BEACH RPT 1/6BBL
31800,ALG CURIEUX 6/4 BTL
31808,ALG CURIEUX 1/2BBL
31817,ALG STORYTOLD 6/12.7OZ BTLS
31820,ALG SNOW REPRT 6/4C
31821,ALG SNOW REPRT 1/6BB6
31891,ALG HAUNTED 6/4 CANS
31893,ALG HAUNTED 1/6BBL
31896,ALG SECND SUMR 2/12 CAN
31915,ALG MYONE&ONLY 6/12.7OZ BTL
